Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
400899,"Soldiers Live (The Chronicles of the Black Company, #9)",Glen Cook,"Cook, Glen",,0812566556,9780812566550,5,4.2,Tor Fantasy,Mass Market Paperback,566,2001,2000,02/04/2017,02/04/2017,,,read,,,,1,,,0,,,,,
349470,"Water Sleeps (The Chronicles of the Black Company, #8)",Glen Cook,"Cook, Glen",,0812555341,9780812555349,4,4.06,Tor Fantasy,Mass Market Paperback,470,2000,1999,29/03/2017,29/03/2017,,,read,,,,1,,,0,,,,,
400897,"She is the Darkness (The Chronicles of the Black Company, #7)",Glen Cook,"Cook, Glen",,0812555333,9780812555332,4,4.09,Tor Fantasy,Mass Market Paperback,470,1998,1997,23/03/2017,23/03/2017,,,read,,,,1,,,0,,,,,
400911,"Bleak Seasons (The Chronicles of the Black Company, #6)",Glen Cook,"Cook, Glen",,0812555325,9780812555325,3,3.95,Tor Fantasy,Mass Market Paperback,316,1997,1996,28/01/2017,28/01/2017,,,read,,,,1,,,0,,,,,
400914,"The Silver Spike (The Chronicles of the Black Company, #3.5)",Glen Cook,"Cook, Glen",,0812502205,9780812502206,4,3.95,Tor Fantasy,Mass Market Paperback,313,1989,1989,26/01/2017,26/01/2017,,,read,,,,1,,,0,,,,,
21570318,Crimson Bound,Rosamund Hodge,"Hodge, Rosamund",,,,3,3.67,Balzer + Bray,Kindle Edition,448,2015,2015,24/01/2017,24/01/2017,,,read,,,,1,,,0,,,,,
400900,"Dreams of Steel (The Chronicles of the Black Company, #5)",Glen Cook,"Cook, Glen",,0812502108,9780812502107,5,4.09,Tor Books,Mass Market Paperback,346,1990,1990,22/01/2017,22/01/2017,,,read,,,,1,,,0,,,,,
113540,"Shadow Games (The Chronicles of the Black Company, #4)",Glen Cook,"Cook, Glen",,0812533828,9780812533828,4,4.09,Tor Fantasy,Mass Market Paperback,311,1989,1989,20/01/2017,20/01/2017,,,read,,,,1,,,0,,,,,
140671,"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,"Cook, Glen",,0812521390,9780812521399,4,3.96,Tor Fantasy,Mass Market Paperback,319,1992,1984,07/01/2017,07/01/2017,,,read,,,,1,,,0,,,,,
400906,"The White Rose (The Chronicles of the Black Company, #3)",Glen Cook,"Cook, Glen",,0812508440,9780812508444,5,4.19,Tor Fantasy,Paperback,317,1985,1985,17/01/2017,17/01/2017,,,read,,,,1,,,0,,,,,
400881,"Shadows Linger (The Chronicles of the Black Company, #2)",Glen Cook,"Cook, Glen",,0812508424,9780812508420,4,4.16,Tor Books,Paperback,319,1990,1984,17/01/2017,17/01/2017,,,read,,,,1,,,0,,,,,
28876,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"Novik, Naomi",,0345481283,9780345481283,5,4.05,Del Rey,Mass Market Paperback,353,2006,2006,02/01/2017,02/01/2017,,,read,,,,1,,,0,,,,,
28588345,"The Midnight Star (The Young Elites, #3)",Marie Lu,"Lu, Marie",,0399167854,9780399167850,3,4.14,G.P. Putnam's Sons Books for Young Readers,Hardcover,316,2016,2016,01/01/2017,07/07/2016,,,read,,,,1,,,0,,,,,
21479290,"The Hanging Tree (Peter Grant, #6)",Ben Aaronovitch,"Aaronovitch, Ben",,0575132558,9780575132559,4,4.22,Gollancz,Hardcover,387,2016,2016,21/12/2016,04/03/2015,,,read,,,,1,,,0,,,,,
25877663,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey,"Corey, James S.A.",,0356504263,9780356504261,4,4.18,Orbit,Hardcover,538,2016,2016,18/12/2016,06/10/2015,,,read,,,,1,,,0,,,,,
8447255,"The Crippled God (The Malazan Book of the Fallen, #10)",Steven Erikson,"Erikson, Steven",,0593046358,9780593046357,5,4.44,Bantam Press,Hardcover,921,2011,2011,15/12/2016,14/12/2016,,,read,,,,1,,,0,,,,,
4703427,"Dust of Dreams (The Malazan Book of the Fallen, #9)",Steven Erikson,"Erikson, Steven",,0765316552,9780765316554,4,4.31,Tom Doherty Associates,Paperback,1280,2009,2009,13/11/2016,13/12/2016,,,read,,,,1,,,0,,,,,
21787,The Princess Bride,William Goldman,"Goldman, William",,0345418263,9780345418265,4,4.25,Ballantine Books (Ballantine Reader's Circle),Paperback,398,2003,1973,05/10/2015,05/10/2016,,,read,,,,1,,,0,,,,,
15845945,"Flesh (Flesh, #1)",Kylie Scott,"Scott, Kylie",,174334080X,9781743340806,4,3.63,Momentum,ebook,288,2012,2012,06/03/2015,06/03/2015,,,read,,,,1,,,0,,,,,
15863832,"Angelfall (Penryn & the End of Days, #1)",Susan Ee,"Ee, Susan",,,,3,4.18,Skyscape,Kindle Edition,288,2012,2011,03/06/2015,03/06/2015,,,read,,,,1,,,0,,,,,
18500665,"End of Days (Penryn & the End of Days, #3)",Susan Ee,"Ee, Susan",,,,3,4.1,Skyscape,Kindle Edition,344,2015,2015,03/06/2015,03/06/2015,,,read,,,,1,,,0,,,,,
25155958,Gentleman Jole and the Red Queen,Lois McMaster Bujold,"Bujold, Lois McMaster",,,9781625794802,4,3.81,Baen Books,ebook,352,2016,2016,06/10/2016,06/10/2015,,,read,,,,1,,,0,,,,,
11324166,"Timeless (Parasol Protectorate, #5)",Gail Carriger,"Carriger, Gail",,,,4,4.12,Orbit,Kindle Edition,407,2012,2012,16/12/2014,16/12/2014,,,read,,,,1,,,0,,,,,
17563080,"Murder of Crows (The Others, #2)",Anne Bishop,"Bishop, Anne",,,,5,4.3,Roc,Kindle Edition,369,2014,2014,16/01/2015,16/01/2015,,,read,,,,1,,,0,,,,,
18297707,"Tangled (Tangled, #1)",Emma Chase,"Chase, Emma",,,,4,4.12,Gallery Books,Kindle Edition,254,2013,2013,11/03/2015,11/03/2015,,,read,,,,1,,,0,,,,,
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,,,4,3.98,William Morrow,Kindle Edition,880,2015,2015,17/12/2015,17/12/2015,,,read,,,,1,,,0,,,,,
19095025,"Play (Stage Dive, #2)",Kylie Scott,"Scott, Kylie",,,,4,4.32,St. Martin's Griffin,Kindle Edition,294,2014,2014,04/03/2015,04/03/2015,,,read,,,,1,,,0,,,,,
22296819,"Addicted for Now (Addicted, #2)",Krista Ritchie,"Ritchie, Krista",Becca Ritchie,,,4,4.27,K.B. Ritchie,ebook,488,2014,2013,29/03/2016,29/03/2016,,,read,,,,1,,,0,,,,,
18739426,"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,"Sanderson, Brandon",,,,5,4.45,Tor,Kindle Edition,336,2016,2016,06/10/2016,06/10/2015,,,read,,,,1,,,0,,,,,
22886612,Nemesis Games (The Expanse #5),James S.A. Corey,"Corey, James S.A.",,,,4,4.37,Orbit,Kindle Edition,536,2015,2015,10/12/2014,10/12/2014,,,read,,,,1,,,0,,,,,
5073782,The Borders of Infinity,Lois McMaster Bujold,"Bujold, Lois McMaster",,,,4,4.24,,Kindle Edition,78,,1987,22/11/2014,22/11/2014,,,read,,,,1,,,0,,,,,
12351649,"Perfection (Neighbor from Hell, #2)",R.L. Mathewson,"Mathewson, R.L.",,,9780983212553,3,4.16,,ebook,247,2011,2011,16/03/2015,16/03/2015,,,read,,,,1,,,0,,,,,
14896828,"Tethered (Iron Seas, #2.5)",Meljean Brook,"Brook, Meljean",,,,4,4.2,Berkley Sensation,Mass Market Paperback,187,2013,2013,09/01/2015,09/01/2015,,,read,,,,1,,,0,,,,,
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,,,4,4.24,Broad Reach Publishing,Kindle Edition,509,2012,2012,02/04/2014,02/04/2014,,,read,,,,1,,,0,,,,,
